Emotion,Sentence
Sadness,tui kiếm cả tháng nhưng bị quên tên phim
Other,Ủa vậy là nếu bạn nam ko thay đổi quá khứ thì bạn nữ đã mất vào 3 năm trước à ???
Sadness,Mới xem review thôi mà đã nổi da gà muốn khóc r... Xem phim xg hok bt sao nx
Sadness,Thôi thôi mình đọc hết là muốn sỉu rồi dày vãi đọc hết cả hơi rồi thôi nhé xin thua xin thua xin thua 😧😧😧😧😥😥😥😥😥
Enjoyment,T nể tk nào sáng tác ra truyện này v l...
Enjoyment,Từ phim này × kẹo bông gòn qua .kkk:))
Sadness,"Mình đã đọc một bài viết nói lí do tại sao lúc tỉnh dậy, Taki với Mitsuha lại khóc.
Trước đó Mitsuha ở trong thân xác của Taki đã chuẩn bị buổi hẹn hò cho Taki với Okudera. Tối đó thì Mitsuha đã khóc nhưng cô lại quên mất rằng mình đang ở trong cơ thể của Taki, chính vì vậy nên sáng hôm sau Taki tỉnh dậy trong tình trạng nước mắt lăn dài trên má. Taki cũng đã nói: ""Nước mắt? Nhưng tại sao?""  Về lại với Mitsuha, cô tỉnh dậy, lúc cột tóc cô cũng khóc nhưng không rõ tại sao. Nhưng rồi cô chợt nhận ra mình đã bắt đầu tỏ ra một chút ghen tuông với cuộc hẹn hò của Taki và Okudera, Mitsuha cũng nhận ra rằng mình đã nảy sinh tình cảm với Taki từ khi nào không biết."
Enjoyment,Mik rất thích
Other,"coi phim này ở đâu vậy
hỏi ngu tí
mấy bạn gửi link cho mình được không"
Sadness,Mỗi lần xem lại là 1 lần đượm buồn. Lần đầu tiên mình xem 1 anime mà lại xúc động đến vậy.
Enjoyment,"""Chị không sờ ngực nữa à ""😆😆"
Other,Yỏu name
Sadness,Khóc nguyên bộ phim 😢
Other,Có robic mọi người ơi
Enjoyment,"Kết câu cuối của ad ""ai lớp du chucamo""😂"
Sadness,Tâm trạng thật... tìm Kiếm thứ mà ko biết nó là j
Other,"Khúc đầu hiểu
Khúc giữa xoắn não
Khúc cuối kiệt quệ"
Enjoyment,Phim này khá hack não
Sadness,Thật tội quá đi. Mình xem hơn 10 lần rồi mà lần nào cũng khóc...
Enjoyment,Hay quá
Other,Phim này ra rạp lâu rồi mà😃 từ năm 2017 thì phải 🤔😂
Enjoyment,Hay quá
Disgust,"Phim này mà xem review thì không nên, xem cả phim thì cảm nhận hay hơn nhiều"
Enjoyment,Thích nhất đoạn cuối 😍
Other,Suy ra mitsuha lớn hơn taki 3 tuổi
Sadness,"“Mỗi buổi sáng mở mắt ra tôi đều có cảm giác mất mát. Thứ đã đánh mất đó là gì? Điều gì đó quan trọng, một người nào đó, hay đơn giản chỉ là một cái tên mà thôi”."
Other,5.5625
Sadness,Xúc động
Disgust,hãi và cơm tró đầy người
Enjoyment,Hay quá ❤️😘
Sadness,"một ngôi sao vừa rơi
vụt tắt trên bầu trời
hay là tên người ấy 
vụt tắt ở trong tôi"
Enjoyment,Lagvl=)
Other,Phim này xem ở đâu vậy mọi người
Other,🥰🥰
Other,Saochoi la caígi
Sadness,Cảm động quá
Sadness,Nghe review thôi mà cảm động😥😥
Sadness,May quá nếu kết buồn t chết mất
Enjoyment,yeu
Disgust,Nói chung là:đéo hỉu😵😵😵
Sadness,Lần đầu tiên tui xem phim anime mà khóc luôn á trời
Sadness,Phim rất hay chỉ tiếc là mình xem muộn 4 năm
Disgust,ong kia bien thai ghe
Enjoyment,S hay quá z
Sadness,anh khoc that roi em oiiiiiiiiiiiiiiii
Disgust,Thời gian trong phim này khó hiểu hơn cả Doraemon
Sadness,Kiếp trước em ở bên anh không lâu bỏ lỡ nhau nhưng rồi anh cũng đã nói sẽ đợi em ở kiếp này cho dù là ban ngày hay đêm cũng không chia cắt chúng ta em yêu anh jjk
Other,Mong chị có thể review nhiều phim anime hay nx ạ em cầu xin chị
Other,"bộ phim làm mình nhớ tới câu hát: ""Anh muốn đi xuyên thời gian, xuyên không gian để tới bên em"""
Sadness,xem mà muốn khóc T~T T~T
Enjoyment,Thích nhất đoạn mitsuha gặp taki lần đầu vào đoạn cuối
Sadness,"Coi đi coi lại mà vẫn khóc , kể cả review phim"
Sadness,XEM XONG MA  T KHOC QUA TROI
Disgust,Chữ xấu thì khổ lắm
Enjoyment,Tuyệt phẩm anime
Other,Cho em hỏi ghi tên phim ntn để xem dc ạ .... em ghi toàn ra tóm tắt phim với bài hát
Disgust,Phim này rắc rối quá mình xem không hiểu cho lắm
Sadness,Hay quá mún khóc :))
Enjoyment,"Bộ này với khu vuờn ngôn từ là tuyệt phẩm từ nội dung, hình ảnh, âm thanh"
Sadness,"Cảm ơn mai review phim rất nhiều,mình lúc trước ko và chưa từng coi anime nhưng khi xem xong review mình rất muốn xem phim,xem xong thì ko thể cầm nổi nước mắt của mình,thật quá cảm động đối vs những người xem lần đầu của bộ phim này,nhờ review mà mình đã có cái nhìn hoàn toàn khác về anime nó ko chỉ dành cho thiếu nhi mà còn dành cho tất cả chúng ta,để chúng ta có thể nhớ lại những kỷ niệm đẹp lúc mới yêu ❤ và cảm xúc bồi hồi thổn thức khi còn là đứa trẻ mới lớn,1 lần nữa mình xin cảm ơn Mai review phim rất nhiều ,chúc kênh của bạn luôn phát triển để có thể giúp tụi mình có những siêu phẩm anime nha"
Other,Nhưng lúc hai ng gặp nhau trên núi thì đó vào thời giân nào( quá khứ hay tương lai)
Other,"Hai người đứng trên núi (cùng một chỗ) nhưng vì Taki là 3 năm sau và Mitsuha là 3 năm trước nên đéo thấy nhau là đúng.
Lúc đó trong quá khứ là lúc sao chổi quét  and Xóa sổ nên Mitsuha biến mất (Itomori và Mits coi như ko hề tồn tại nên Taki cx coi như ko quen bt Misuha)
Nhưng nếu quá khứ đã xảy ra rồi thì k thể thay đổi (vậy mà Mitsuha chết r mà vẫn sống lại đc) .
Nói kĩ : Mitsuha đã died do sao băng nên Taki ms ko thể tìm ra Mitsuha trong itomori đc, nhưng taki lại quay ngược quá khứ và thay đổi nó khiến mọi người lánh nạng và Mitsuha vx bình an, vậy nếu quá khứ thay đổi thì lúc đầu đáng ra Mitsuha phải sống và kí ức về vụ ""Chết 500 người"" ko hề tồn tại.
Đó là khái niệm thời gian và cái kết đỡ ấm ức"
Enjoyment,Thích nhất câu nhận xét rút ra từ phim
Surprise,Sao phim hay dữ vậy nè 🥰
Enjoyment,Có ai xem phim này rồi mà còn coi review như mình ko ta😁😁
Sadness,😭
Disgust,M xem mà chả hiểu gì thảo nào
Other,Cho em xin tên phim đi
Enjoyment,"""Hôm nay chị không sờ ngực nữa hả?"" 
Mé!! Cười sản!!!"
Other,Đúa con của thời tiết đi ad
Other,Phim này nghe con cj kể là hay mà tui chx xem qua bao h
Enjoyment,hay quá
Enjoyment,cái phim tên cậu là gì  cực hay
Enjoyment,Phim xuất sắc quá luôn
Disgust,"một bộ phim siêu hay và cái trend ""review"" trá hình làm mk phát tởm nó làm bộ phim chán đến phát ngán làm cho những người xem khi xem sẽ rất chán và tụt cảm xúc và ko khác gì nước ốc.."
Other,Vậy tên tiếng anh là gì?
Sadness,có ai xem phim này rồi khóc như tớ không ạ
Enjoyment,Coi xong t lú chui đầu vào máy giặc:)))
Other,Phim này xem ở đâu v mng
Disgust,Khó Hiểu Quá. 😒😒
Other,Mặc dù xem hết video nhưng k khóc
Enjoyment,"cái kết có hậu quá , chả bù với 5cm/s"
Other,.
Sadness,"xem mà muốn rơi nước mắt luôn ý 
quả thực là siêu phẩm"
Other,Hồi còn học lớp 9 em thấy một ngôi Sao màu đỏ phi thẳng qua
Sadness,Cảm động thật
Other,Chị thử review phim Mộ đom đóm đi
Enjoyment,Thật sự mình rất tích.phim anime tình cảm như vậy🥰
Disgust,Xem 3-4 lần mới hiểu
Other,Nhạc tên j vậy mn?
