Emotion,Sentence
Enjoyment,Phim ý nghĩa quá 😀😀😀😀
Other,Trí nhớ nhựa đi ad
Other,xD.....
Sadness,Cảm cờ động ghi
Sadness,tôi nghiệp cho Nishmiya shoko
Sadness,"Như cuộc đời như mình 😔
Xem mãi vẫn bùn 😔
Có ai giống như mình điểm danh cái"
Sadness,cảm động lắm mà t đéo khóc
Enjoyment,Hay quá
Other,làm nhiều anime đi chị
Enjoyment,Phim xúc động nhưng hơi lộn xộn xem kỹ mới hiểu
Other,3:41 ad hủ nữ hay j zị🌚
Disgust,Mà ở nước Nhật cứ lấy quá khứ ra tự trách cho nhau rồi đau buồn có 1 chút bắt đầu nghĩ đến tự tử khổ
Enjoyment,Hay lắm em ơi anh thich kinh em cho anh giao lưu qua lai nghe Em kinh anh xep pham ok.
Sadness,Kết thúc của phim và kết thúc của 1 người là 2 thế giới khác nhau !
Sadness,Tui coi cái này mà khóc như mưa lun :((
Surprise,Cứ đến đâu là soja lại gặp đc bạn cũ thế
Enjoyment,Cảm ơn bạn
Enjoyment,Hay quá
Enjoyment,Xem tóm tắt phim này cỡ 10 lân luôn :))
Other,Hi chị
Disgust,Ko ưa tính cách con tóc đen
Enjoyment,phim hay nhưng t chỉ để ý mỗi người mẹ của con bé bị bắt nạt =))
Other,tui có khóc đầu :V
Sadness,😭😭😭😭😭😭😭😭
Other,;-; sao k rì viu cả phim hành động 18+ đi
Sadness,"Mong nữ 9 với nam 9 thành đôi thôi :(((
Tội nữ 9 thích nam9 hông nói được chữ yêu nam9"
Enjoyment,Cái này em coi rồi nó hay vcl
Disgust,Phim này mình coi thấy rất là dở không hay tí nào
Sadness,"Ai biết còn phim nào hay như này ko vậy cho mik xin vài bộ,buồn buồn xíu mới hay"
Disgust,"Tớ không ghét tóc đen 
Mà ghét con lớp trưởng tóc bạch kim á:)))))"
Enjoyment,Phm này mk xem đi xem lai
Other,Review nhiều phim anime đc k ạh☺️
Sadness,Tôi thấy đc bản thân mình trong này
Disgust,Ước gì mấy đứa hay bắt nạt người khác cũng bị xa lánh như vậy. Gieo nhân nào gặt quả đó thôi em.
Surprise,Ngoan hiền mà sao đọc có chữ ngoan ậu
Other,Chi lam sakura5cm chi oi
Surprise,Thấy hay mà sao có 182 ko like vậy🤔
Other,Kệ  chị đang làm việc với kẻ truy cầu nguyện của mình mà tiếp đi em yêu ngủ ngon mơ siêu đệp vào đây đi làm chưa về
Disgust,Chưa hiểu lắm!!(
Disgust,Làm ơn để thêm tên gốc của anime cho người khác biết đến nó nữa.
Disgust,Không biết nói sao nhưng k ưa con tóc đen hay bắt nạt n9 :))
Other,Cho mk hỏi xem ở đâu vậy
Sadness,Tôi trầm cảm
Enjoyment,Phim này hay ghê
Sadness,"Đến cuối phim tôi vẫn không thấy được mặt của chị nam chính, mà bạn nào muốn biết thêm những chuyện xảy ra tiếp theo thì tìm đến manga mà đọc nha"
Enjoyment,Phim hay và rất cảm động nữa
Disgust,review hơi sai rồi 1:14 là main chính bắt nạt con shoko mà với lại lúc đầu video review có phần sai 0:31 là thằng main này nó ghét con shoko nhé nên mới ném cát nhưng review phần còn lại ổn rồi 9/10
Enjoyment,Hay quá chị ơi
Anger,T môg nhữg kênh review phim thế này sẽ bị kiện ra tò. Má 1 bộ phim hay và ý nghĩa vcl nó review trong 13phut là bay màu 1 bộ anime siêu phẩm 😡😡🤬🤬🤬
Enjoyment,Khóc ( đùa) :))))
Other,😎
Enjoyment,Em cho 10000000 lsiq
Disgust,Thanh niên tự kỉ
Surprise,Thích người bắt nạt mình...?
Disgust,Thật sự ghét con Ueno vãi 🤷🤷 nó chưa bị ăn đánh >:((
Other,3:41 mặn mòi z bà 😂😂
Enjoyment,😝
Surprise,12:50 không biết tại sao trời lại nắng - không biết tại sao anh là ánh nắng của em 🛡
Sadness,Bộ phim này làm tôi nhớ tới lúc tôi còn nhỏ khi bị bạo hành học đường
